quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,year,quarter
0230132013230023,"POLYGON((-116.976928710938 33.7837130554728, -116.971435546875 33.7837130554728, -116.971435546875 33.7791473312865, -116.976928710938 33.7791473312865, -116.976928710938 33.7837130554728))",14860,5712,25,1,1,2020,3
0313131033033110,"POLYGON((-1.593017578125 51.7542400740335, -1.5875244140625 51.7542400740335, -1.5875244140625 51.7508394806285, -1.593017578125 51.7508394806285, -1.593017578125 51.7542400740335))",22031,7046,28,12,7,2020,1
0302323212110332,"POLYGON((-74.937744140625 41.7426272863767, -74.9322509765625 41.7426272863767, -74.9322509765625 41.7385284693592, -74.937744140625 41.7385284693592, -74.937744140625 41.7426272863767))",14049,588,63,1,1,2020,3
0320213021221212,"POLYGON((-81.156005859375 28.6664911769866, -81.1505126953125 28.6664911769866, -81.1505126953125 28.6616712164195, -81.156005859375 28.6616712164195, -81.156005859375 28.6664911769866))",7450,130,32,1,1,2020,2
1202320221020031,"POLYGON((11.6180419921875 43.5087210112969, 11.62353515625 43.5087210112969, 11.62353515625 43.5047368549769, 11.6180419921875 43.5047368549769, 11.6180419921875 43.5087210112969))",6699,18212,59,1,1,2020,2
0320212303320313,"POLYGON((-82.4029541015625 27.7370227795168, -82.3974609375 27.7370227795168, -82.3974609375 27.7321607095809, -82.4029541015625 27.7321607095809, -82.4029541015625 27.7370227795168))",3584,63,42,1,1,2020,1
0320021012232311,"POLYGON((-86.3580322265625 36.0490989590656, -86.3525390625 36.0490989590656, -86.3525390625 36.0446575392153, -86.3580322265625 36.0446575392153, -86.3580322265625 36.0490989590656))",2214,36,81,1,1,2020,2
0320003120030013,"POLYGON((-85.6768798828125 38.1993385659838, -85.67138671875 38.1993385659838, -85.67138671875 38.1950215579557, -85.6768798828125 38.1950215579557, -85.6768798828125 38.1993385659838))",18012,5569,62,3,2,2020,1
0212302213332102,"POLYGON((-122.40966796875 45.6101948758674, -122.404174804688 45.6101948758674, -122.404174804688 45.6063520771183, -122.40966796875 45.6063520771183, -122.40966796875 45.6101948758674))",81669,43332,22,6,1,2020,4
0313103303232203,"POLYGON((-6.5863037109375 52.9188394267667, -6.580810546875 52.9188394267667, -6.580810546875 52.9155272204414, -6.5863037109375 52.9155272204414, -6.5863037109375 52.9188394267667))",5351,392,46,1,1,2020,2
